;地图号 座标X 座标Y 范围 触发标识 触发条件 触发机率 事件类型
H104 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H105 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H106 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T232 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T218 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T339 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T219 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T315 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
T118 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H201 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H202 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H203 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
H204 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B101A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B102A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B103A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B104A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B105A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B106A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B107A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B108A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B109A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B110A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B111A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B112A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B113A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B114A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B115A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B116A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B117A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B118A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B119A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B120A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B121A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B122A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B123A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B124A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B125A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B126A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B127A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B128A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B129A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B130A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B131A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B132A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B133A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B134A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B135A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B136A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B137A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B138A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B139A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B140A -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
6 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
B357 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
GA1 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
61 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
62 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
63 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
64 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
65 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
66 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
611 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
621 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
612 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
613 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
622 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
631 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
EM300 -1 -1 0 -1:1 2:*:0 0 1:@PickUpItem
