[2024/8/19 20:0:0] 物品:金创药(小量)	怪物:28BC2210僵尸5	地图:H201	X:109	Y:137 
[2024/8/19 20:19:43] 物品:强效金创药	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:强效金创药	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:强效金创药	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:魔法药(中量)	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:魔法药(中量)	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:强效魔法药	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:强效魔法药	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:强效魔法药	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:攻击神水	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:43] 物品:幽灵盾	怪物:30835F90沃玛卫士8	地图:H204	X:64	Y:81 
[2024/8/19 20:19:47] 物品:强效太阳水	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效太阳水	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效太阳水	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效太阳水	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效太阳水	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效金创药	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效金创药	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效魔法药	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:强效魔法药	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:生铁戒指	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:死神手套	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:凝霜	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:黑檀手镯	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:魔力手镯	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:地狱雷光	怪物:0D455C00尸王8	地图:H201	X:88	Y:107 
[2024/8/19 20:19:47] 物品:攻击力药水	怪物:1BCEA670僵尸4	地图:H201	X:176	Y:112 
[2024/8/19 20:19:49] 物品:道士手镯	怪物:22846650祖玛卫士8	地图:H204	X:68	Y:79 
[2024/8/19 20:19:54] 物品:灵魂火符	怪物:29746E20僵尸1	地图:H201	X:93	Y:106 
[2024/8/19 20:19:57] 物品:金创药(小量)	怪物:288267F0僵尸5	地图:H201	X:93	Y:108 
[2024/8/19 20:19:57] 物品:雷电术	怪物:288267F0僵尸5	地图:H201	X:93	Y:108 
[2024/8/19 20:19:58] 物品:金创药(小量)	怪物:2A0A57F0僵尸4	地图:H201	X:177	Y:112 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:太阳水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效金创药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:强效魔法药	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:HP强化药水	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:19:59] 物品:蛇眼戒指	怪物:05C1DF00虹魔蝎卫8	地图:H204	X:68	Y:78 
[2024/8/19 20:20:2] 物品:太阳水	怪物:29EDE460黑野猪8	地图:H002	X:300	Y:78 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效金创药	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效金创药	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效魔法药	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效魔法药	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:生铁戒指	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:魔力手镯	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:野蛮冲撞	怪物:1E2FD3F0尸王8	地图:H201	X:175	Y:118 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:疗伤药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:疗伤药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:疗伤药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:疗伤药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:太阳水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效金创药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效金创药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效魔法药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效魔法药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效金创药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效金创药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效魔法药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:强效魔法药	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:精神力药水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:MP强化药水	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:恶魔长袍(男)	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:幽灵战衣(女)	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:重盔甲(男)	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:魔法长袍(女)	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:偃月	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:破魂	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:降魔	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:斩马刀	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:修罗	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:凝霜	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:骷髅头盔	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:道士头盔	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:蓝翡翠项链	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:放大镜	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:竹笛	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:小手镯	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:魔法手镯	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:黑檀手镯	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:道士手镯	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:死神手套	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:金手镯	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:黑色水晶戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:蛇眼戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:珍珠戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:金戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:骷髅戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:魅力戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:14] 物品:道德戒指	怪物:2B93AB90牛魔王8	地图:H204	X:47	Y:46 
[2024/8/19 20:20:15] 物品:强效太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:太阳水	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:金创药(中量)	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:金创药(中量)	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效金创药	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效金创药	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效金创药	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:魔法药(中量)	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:魔法药(中量)	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效魔法药	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效魔法药	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:强效魔法药	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:骷髅戒指	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:15] 物品:魔法盾	怪物:29D9A1D0沃玛卫士8	地图:H204	X:68	Y:69 
[2024/8/19 20:20:18] 物品:强效太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:太阳水	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:金创药(中量)	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:金创药(中量)	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效金创药	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效金创药	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效金创药	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:魔法药(中量)	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:魔法药(中量)	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效魔法药	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效魔法药	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:强效魔法药	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:海魂	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:集体隐身术	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:18] 物品:地狱火	怪物:18B35310沃玛卫士8	地图:H204	X:46	Y:46 
[2024/8/19 20:20:20] 物品:金创药(小量)	怪物:29D54570僵尸4	地图:H201	X:93	Y:119 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:太阳水	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效金创药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
[2024/8/19 20:20:25] 物品:强效魔法药	怪物:1A5F38E0虹魔蝎卫8	地图:H204	X:67	Y:69 
