[2024/8/17 5:0:6] 物品:金创药(小量)	怪物:190F9100僵尸3	地图:D401	X:89	Y:175 
[2024/8/17 5:27:8] 物品:隐身术	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:8] 物品:诱惑之光	怪物:28441750沃玛卫士8	地图:H003	X:37	Y:38 
[2024/8/17 5:27:22] 物品:抗拒火环	怪物:276F1B00僵尸3	地图:D401	X:81	Y:11 
[2024/8/17 5:27:50] 物品:金创药(小量)	怪物:227723E0僵尸3	地图:D401	X:86	Y:35 
[2024/8/17 5:29:32] 物品:金创药(小量)	怪物:03B215A0僵尸3	地图:D401	X:25	Y:149 
[2024/8/17 5:31:21] 物品:太阳水	怪物:193997F0黑色恶蛆8	地图:H001	X:14	Y:56 
[2024/8/17 5:32:8] 物品:金创药(小量)	怪物:1B765BA0森林雪人	地图:11	X:143	Y:292 
[2024/8/17 5:32:56] 物品:金创药(中量)	怪物:27680ED0僵尸2	地图:D401	X:44	Y:27 
[2024/8/17 5:33:38] 物品:神圣战甲术	怪物:195AE460僵尸3	地图:D401	X:46	Y:30 
[2024/8/17 5:34:4] 物品:金创药(小量)	怪物:288BCB30僵尸3	地图:D401	X:119	Y:155 
[2024/8/17 5:34:16] 物品:魔法力药水	怪物:288BCB30僵尸3	地图:D401	X:119	Y:155 
[2024/8/17 5:34:22] 物品:金创药(小量)	怪物:28A75A60僵尸3	地图:D401	X:121	Y:156 
[2024/8/17 5:34:22] 物品:魔法药(小量)	怪物:28A75A60僵尸3	地图:D401	X:121	Y:156 
[2024/8/17 5:35:14] 物品:金创药(小量)	怪物:0D72B010僵尸3	地图:D401	X:125	Y:136 
[2024/8/17 5:35:19] 物品:小手镯	怪物:18E60320跳跳蜂	地图:D601	X:197	Y:217 
[2024/8/17 5:35:19] 物品:坚固手套	怪物:18E60320跳跳蜂	地图:D601	X:197	Y:217 
[2024/8/17 5:35:21] 物品:金创药(小量)	怪物:27EBC410僵尸3	地图:D401	X:125	Y:135 
[2024/8/17 5:36:33] 物品:八荒	怪物:1C2B5350跳跳蜂	地图:D601	X:159	Y:216 
[2024/8/17 5:37:5] 物品:太阳水	怪物:1F116650跳跳蜂	地图:D601	X:199	Y:203 
[2024/8/17 5:37:9] 物品:魔法药(小量)	怪物:0574E610僵尸3	地图:D401	X:150	Y:122 
[2024/8/17 5:37:23] 物品:铁剑	怪物:2817A4C0蜈蚣	地图:D601	X:207	Y:210 
[2024/8/17 5:37:31] 物品:魔法药(小量)	怪物:062395A0僵尸3	地图:D401	X:155	Y:132 
[2024/8/17 5:37:43] 物品:魔法药(小量)	怪物:064217D0僵尸3	地图:D401	X:149	Y:133 
[2024/8/17 5:38:4] 物品:黑檀项链	怪物:186C87C0跳跳蜂	地图:D601	X:200	Y:183 
[2024/8/17 5:38:27] 物品:太阳水	怪物:1F1004D0跳跳蜂	地图:D601	X:210	Y:154 
[2024/8/17 5:38:31] 物品:金创药(小量)	怪物:064217D0僵尸3	地图:D401	X:150	Y:132 
[2024/8/17 5:39:17] 物品:金创药(小量)	怪物:19367090僵尸3	地图:D401	X:144	Y:90 
[2024/8/17 5:39:17] 物品:魔法药(小量)	怪物:19367090僵尸3	地图:D401	X:144	Y:90 
[2024/8/17 5:39:41] 物品:魔法药(中量)	怪物:1DD4AA40恶灵僵尸8	地图:H001	X:11	Y:83 
[2024/8/17 5:40:10] 物品:金创药(小量)	怪物:1EF52940僵尸3	地图:D401	X:174	Y:96 
[2024/8/17 5:40:16] 物品:灯笼项链	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:太阳水	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:太阳水	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:太阳水	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:太阳水	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:金创药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:金创药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:金创药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:金创药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:魔法药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:魔法药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:魔法药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:16] 物品:魔法药(中量)	怪物:18FFDD10蜈蚣0	地图:D601	X:224	Y:60 
[2024/8/17 5:40:17] 物品:金创药(小量)	怪物:29CAE9C0僵尸3	地图:D401	X:64	Y:38 
[2024/8/17 5:40:17] 物品:魔法药(小量)	怪物:29CAE9C0僵尸3	地图:D401	X:64	Y:38 
[2024/8/17 5:40:17] 物品:基本剑术	怪物:30521530僵尸3	地图:D401	X:176	Y:96 
[2024/8/17 5:40:20] 物品:琥珀项链	怪物:1F0B5830巨型蠕虫	地图:D601	X:224	Y:60 
[2024/8/17 5:40:31] 物品:魔法药(小量)	怪物:19336980僵尸3	地图:D401	X:177	Y:98 
[2024/8/17 5:40:47] 物品:金创药(小量)	怪物:30521530僵尸3	地图:D401	X:178	Y:98 
[2024/8/17 5:40:50] 物品:金创药(小量)	怪物:19336980僵尸3	地图:D401	X:177	Y:98 
[2024/8/17 5:41:43] 物品:金创药(小量)	怪物:29C07010僵尸3	地图:D401	X:123	Y:102 
[2024/8/17 5:41:48] 物品:精神力药水	怪物:17C8BCA0僵尸3	地图:D401	X:68	Y:39 
[2024/8/17 5:42:10] 物品:黑檀项链	怪物:29B501A0黑色恶蛆	地图:D601	X:202	Y:29 
[2024/8/17 5:42:21] 物品:召唤骷髅	怪物:17C8BCA0僵尸3	地图:D401	X:69	Y:37 
[2024/8/17 5:42:25] 物品:太阳水	怪物:1F0B15A0巨型蠕虫	地图:D601	X:201	Y:25 
[2024/8/17 5:42:28] 物品:太阳水	怪物:1F04A900黑色恶蛆	地图:D601	X:201	Y:25 
[2024/8/17 5:43:8] 物品:太阳水	怪物:15CA3F50蜈蚣	地图:D601	X:190	Y:36 
[2024/8/17 5:43:22] 物品:金创药(小量)	怪物:1CF74E70僵尸3	地图:D401	X:111	Y:98 
[2024/8/17 5:43:42] 物品:金创药(中量)	怪物:29B72480恶灵僵尸8	地图:H001	X:22	Y:99 
[2024/8/17 5:44:0] 物品:八荒	怪物:1EF186E0蜈蚣	地图:D601	X:189	Y:42 
[2024/8/17 5:44:3] 物品:太阳水	怪物:2773ADE0巨型蠕虫	地图:D601	X:188	Y:42 
[2024/8/17 5:44:3] 物品:偃月	怪物:2773ADE0巨型蠕虫	地图:D601	X:188	Y:42 
[2024/8/17 5:44:9] 物品:铁剑	怪物:2884EFA0巨型蠕虫	地图:D601	X:187	Y:41 
[2024/8/17 5:44:22] 物品:金创药(小量)	怪物:1B938A10僵尸3	地图:D401	X:100	Y:109 
[2024/8/17 5:44:22] 物品:魔法药(小量)	怪物:1B938A10僵尸3	地图:D401	X:100	Y:109 
[2024/8/17 5:45:1] 物品:强效太阳水	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效太阳水	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效太阳水	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效太阳水	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效太阳水	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效金创药	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效金创药	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效魔法药	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:强效魔法药	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:蓝翡翠项链	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:群体治疗术	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:1] 物品:魔法盾	怪物:31A95780尸王8	地图:H001	X:13	Y:106 
[2024/8/17 5:45:16] 物品:太阳水	怪物:2E74BEF0蜈蚣	地图:D601	X:178	Y:27 
[2024/8/17 5:45:28] 物品:基本剑术	怪物:28278180僵尸2	地图:D401	X:88	Y:90 
[2024/8/17 5:45:28] 物品:魔法药(小量)	怪物:285A5270僵尸3	地图:D401	X:78	Y:30 
[2024/8/17 5:45:37] 物品:灵魂火符	怪物:0D909430僵尸3	地图:D401	X:87	Y:91 
[2024/8/17 5:45:41] 物品:金创药(小量)	怪物:0D9DD310僵尸3	地图:D401	X:78	Y:29 
[2024/8/17 5:45:47] 物品:召唤骷髅	怪物:1918BA50僵尸3	地图:D401	X:89	Y:92 
[2024/8/17 5:45:56] 物品:攻击力药水	怪物:2993FD80僵尸2	地图:D401	X:83	Y:92 
[2024/8/17 5:46:9] 物品:太阳水	怪物:1F062670蜈蚣	地图:D601	X:164	Y:49 
[2024/8/17 5:46:19] 物品:太阳水	怪物:1EF3B010蜈蚣	地图:D601	X:163	Y:49 
[2024/8/17 5:47:11] 物品:魔法药(小量)	怪物:284CA8E0僵尸3	地图:D401	X:157	Y:152 
[2024/8/17 5:47:17] 物品:重盔甲(男)	怪物:15D03DD0钳虫8	地图:H001	X:15	Y:118 
[2024/8/17 5:47:24] 物品:小手镯	怪物:1F098640巨型蠕虫	地图:D601	X:160	Y:55 
[2024/8/17 5:47:31] 物品:金创药(中量)	怪物:18DAE9E0恶灵僵尸8	地图:H001	X:15	Y:122 
[2024/8/17 5:47:35] 物品:铁剑	怪物:276413B0巨型蠕虫	地图:D601	X:157	Y:55 
[2024/8/17 5:48:0] 物品:魔法药(小量)	怪物:057D5DE0僵尸3	地图:D401	X:97	Y:172 
[2024/8/17 5:48:9] 物品:金创药(小量)	怪物:299A15A0僵尸3	地图:D401	X:92	Y:174 
[2024/8/17 5:48:9] 物品:精神力药水	怪物:299A15A0僵尸3	地图:D401	X:92	Y:174 
[2024/8/17 5:48:18] 物品:魔法药(小量)	怪物:039E8050僵尸3	地图:D401	X:82	Y:182 
[2024/8/17 5:48:28] 物品:轻型盔甲(男)	怪物:17D21E60黑色恶蛆	地图:D601	X:156	Y:65 
[2024/8/17 5:48:37] 物品:琥珀项链	怪物:1EF15A80蜈蚣	地图:D601	X:156	Y:65 
[2024/8/17 5:48:54] 物品:凌风	怪物:1F0A0B60巨型蠕虫	地图:D601	X:162	Y:70 
[2024/8/17 5:49:3] 物品:金创药(小量)	怪物:18944D10僵尸3	地图:D401	X:39	Y:163 
[2024/8/17 5:49:13] 物品:轻型盔甲(男)	怪物:1F0B2BD0巨型蠕虫	地图:D601	X:169	Y:67 
[2024/8/17 5:49:26] 物品:强效太阳水	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效太阳水	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效太阳水	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效太阳水	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效太阳水	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效金创药	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效金创药	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效魔法药	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:强效魔法药	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:珊瑚戒指	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:黑色水晶戒指	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:道德戒指	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:魅力戒指	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:魔力手镯	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:26] 物品:地狱雷光	怪物:05609FE0尸王8	地图:H001	X:28	Y:134 
[2024/8/17 5:49:35] 物品:抗拒火环	怪物:276FA020僵尸2	地图:D401	X:39	Y:150 
[2024/8/17 5:49:41] 物品:金创药(小量)	怪物:0D6F7CA0僵尸3	地图:D401	X:39	Y:149 
[2024/8/17 5:50:2] 物品:青铜斧	怪物:06257DC0巨型蠕虫	地图:D601	X:206	Y:31 
[2024/8/17 5:50:14] 物品:太阳水	怪物:27F6DD50蜈蚣	地图:D601	X:217	Y:33 
[2024/8/17 5:50:22] 物品:战神油	怪物:1950BF30蜈蚣	地图:D601	X:220	Y:44 
[2024/8/17 5:50:29] 物品:太阳水	怪物:191BC2E0黑色恶蛆	地图:D601	X:215	Y:52 
[2024/8/17 5:50:41] 物品:金创药(小量)	怪物:28E07FB0僵尸3	地图:D401	X:25	Y:132 
[2024/8/17 5:50:54] 物品:金创药(小量)	怪物:28A19FE0僵尸3	地图:D401	X:34	Y:122 
[2024/8/17 5:51:52] 物品:金创药(中量)	怪物:15D08060僵尸2	地图:D401	X:151	Y:124 
[2024/8/17 5:51:58] 物品:攻杀剑术	怪物:30A29DC0僵尸3	地图:D401	X:150	Y:123 
[2024/8/17 5:51:59] 物品:太阳水	怪物:0C2B9FA0蜈蚣	地图:D601	X:205	Y:151 
[2024/8/17 5:52:44] 物品:魔法药(小量)	怪物:18EF2C70僵尸3	地图:D401	X:135	Y:118 
[2024/8/17 5:53:0] 物品:祝福油	怪物:0DCAD870跳跳蜂	地图:D601	X:200	Y:206 
[2024/8/17 5:53:0] 物品:金创药(小量)	怪物:1843F5D0僵尸3	地图:D401	X:129	Y:114 
[2024/8/17 5:53:26] 物品:施毒术	怪物:284CEB70僵尸3	地图:D401	X:144	Y:104 
[2024/8/17 5:53:39] 物品:斩马刀	怪物:18702BA0跳跳蜂	地图:D601	X:211	Y:230 
[2024/8/17 5:54:8] 物品:金创药(小量)	怪物:1EEF7260僵尸3	地图:D401	X:141	Y:79 
[2024/8/17 5:54:8] 物品:魔法药(小量)	怪物:1EEF7260僵尸3	地图:D401	X:141	Y:79 
[2024/8/17 5:54:14] 物品:疾光电影	怪物:15ABCC10僵尸3	地图:D401	X:142	Y:81 
[2024/8/17 5:54:28] 物品:太阳水	怪物:2F937B70黑色恶蛆	地图:D601	X:165	Y:199 
[2024/8/17 5:54:32] 物品:短剑	怪物:307618B0跳跳蜂	地图:D601	X:165	Y:199 
[2024/8/17 5:54:53] 物品:疾光电影	怪物:2761BCA0僵尸2	地图:D401	X:136	Y:76 
[2024/8/17 5:55:7] 物品:基本剑术	怪物:285AC160僵尸3	地图:D401	X:134	Y:82 
[2024/8/17 5:55:36] 物品:破魂	怪物:1EF1B340蜈蚣	地图:D601	X:141	Y:213 
[2024/8/17 5:55:39] 物品:魔法药(中量)	怪物:30521530恶灵僵尸8	地图:H001	X:30	Y:19 
[2024/8/17 5:55:57] 物品:魅力戒指	怪物:30F17410跳跳蜂	地图:D601	X:138	Y:214 
[2024/8/17 5:56:16] 物品:精神力药水	怪物:18808FA0僵尸3	地图:D401	X:153	Y:50 
[2024/8/17 5:56:17] 物品:太阳水	怪物:2A964260跳跳蜂	地图:D601	X:131	Y:209 
[2024/8/17 5:56:24] 物品:斩马刀	怪物:1F0384F0跳跳蜂	地图:D601	X:125	Y:208 
[2024/8/17 5:56:29] 物品:太阳水	怪物:28904F10蜈蚣	地图:D601	X:124	Y:208 
[2024/8/17 5:57:1] 物品:太阳水	怪物:28008780跳跳蜂	地图:D601	X:117	Y:201 
[2024/8/17 5:57:1] 物品:灯笼项链	怪物:28008780跳跳蜂	地图:D601	X:117	Y:201 
[2024/8/17 5:57:4] 物品:金创药(中量)	怪物:15AE4410恶灵僵尸8	地图:H001	X:63	Y:14 
[2024/8/17 5:57:15] 物品:抗拒火环	怪物:184B3ED0僵尸3	地图:D401	X:168	Y:39 
[2024/8/17 5:57:27] 物品:攻击力药水	怪物:30F0C2A0僵尸2	地图:D401	X:168	Y:38 
[2024/8/17 5:57:35] 物品:魔法药(中量)	怪物:30E9A8B0恶灵僵尸8	地图:H001	X:71	Y:22 
[2024/8/17 5:57:36] 物品:道士手镯	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:黑檀手镯	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:白金项链	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:骷髅戒指	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:八荒	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:半月	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:凌风	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:灯笼项链	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:太阳水	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:太阳水	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:太阳水	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:太阳水	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:金创药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:金创药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:金创药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:金创药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:魔法药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:魔法药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:魔法药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:36] 物品:魔法药(中量)	怪物:1F03B150巨型蠕虫0	地图:D601	X:78	Y:192 
[2024/8/17 5:57:46] 物品:魔法药(小量)	怪物:03A54170僵尸3	地图:D401	X:156	Y:38 
[2024/8/17 5:58:4] 物品:金创药(小量)	怪物:03A54170僵尸3	地图:D401	X:156	Y:38 
[2024/8/17 5:58:22] 物品:金创药(小量)	怪物:30F02750僵尸3	地图:D401	X:152	Y:41 
[2024/8/17 5:58:53] 物品:魔法药(小量)	怪物:05895500僵尸3	地图:D401	X:164	Y:23 
[2024/8/17 5:59:8] 物品:金创药(小量)	怪物:280FB650僵尸3	地图:D401	X:177	Y:32 
[2024/8/17 5:59:24] 物品:魅力戒指	怪物:30524190钳虫8	地图:H001	X:94	Y:21 
[2024/8/17 5:59:24] 物品:强效太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:太阳水	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:金创药(中量)	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:金创药(中量)	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效金创药	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效金创药	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效金创药	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:魔法药(中量)	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:魔法药(中量)	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效魔法药	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效魔法药	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:强效魔法药	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:降妖除魔戒指	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:困魔咒	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:瞬息移动	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:24] 物品:灵魂火符	怪物:288A7E60沃玛卫士8	地图:H003	X:47	Y:78 
[2024/8/17 5:59:37] 物品:黑色水晶项链	怪物:1F11D540跳跳蜂	地图:D601	X:61	Y:134 
