[2024/8/18 11:0:0] 物品:魔法药(小量)	怪物:223423C0僵尸4	地图:H201	X:82	Y:59 
[2024/8/18 11:10:33] 物品:魔法药(小量)	怪物:2EC1B9A0僵尸50	地图:H201	X:35	Y:71 
[2024/8/18 11:10:33] 物品:魔法药(小量)	怪物:2EC1B9A0僵尸50	地图:H201	X:35	Y:71 
[2024/8/18 11:10:33] 物品:施毒术	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:灵魂火符	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:地狱火	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:抗拒火环	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:精神力战法	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:火球术	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:治愈术	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:基本剑术	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:短剑	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:中型盔甲(男)	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:青铜头盔	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:33] 物品:魔法药(小量)	怪物:2A5A41C0僵尸40	地图:H201	X:19	Y:104 
[2024/8/18 11:10:37] 物品:大火球	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:瞬息移动	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:灵魂火符	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:抗拒火环	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:精神力战法	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:火球术	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:治愈术	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:基本剑术	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:37] 物品:青铜斧	怪物:23580BE0僵尸40	地图:H201	X:21	Y:103 
[2024/8/18 11:10:44] 物品:强效太阳水	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效太阳水	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效太阳水	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效太阳水	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效太阳水	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效金创药	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效金创药	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效魔法药	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:强效魔法药	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:44] 物品:黑檀手镯	怪物:18F951A0尸王8	地图:H201	X:20	Y:105 
[2024/8/18 11:10:45] 物品:太阳水	怪物:30B7D300牛魔将军8	地图:H010	X:311	Y:114 
[2024/8/18 11:10:45] 物品:灵魂战衣(女)	怪物:03CB9950牛魔法师8	地图:H010	X:312	Y:113 
[2024/8/18 11:10:45] 物品:狂风项链	怪物:03CB9950牛魔法师8	地图:H010	X:312	Y:113 
[2024/8/18 11:10:45] 物品:强效太阳水	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效太阳水	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效太阳水	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效太阳水	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效太阳水	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效金创药	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效金创药	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效魔法药	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:强效魔法药	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:蛇眼戒指	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:魅力戒指	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:45] 物品:黑檀手镯	怪物:29F459A0尸王8	地图:H201	X:28	Y:70 
[2024/8/18 11:10:46] 物品:金创药(小量)	怪物:27FDC950僵尸5	地图:H201	X:19	Y:98 
[2024/8/18 11:10:46] 物品:攻杀剑术	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:隐身术	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:大火球	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:瞬息移动	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:地狱火	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:抗拒火环	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:精神力战法	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:火球术	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:治愈术	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:基本剑术	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:魔鬼项链	怪物:2A5A41C0僵尸40	地图:H201	X:20	Y:103 
[2024/8/18 11:10:46] 物品:强效太阳水	怪物:1C372C70牛魔将军8	地图:H010	X:312	Y:114 
[2024/8/18 11:10:51] 物品:轻型盔甲(男)	怪物:03AC5EC0僵尸10	地图:H201	X:17	Y:102 
[2024/8/18 11:10:52] 物品:强效太阳水	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效太阳水	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效太阳水	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效太阳水	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效太阳水	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效金创药	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效金创药	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效魔法药	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:强效魔法药	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:蛇眼戒指	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:死神手套	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:52] 物品:魔力手镯	怪物:2A85A5D0尸王8	地图:H201	X:28	Y:71 
[2024/8/18 11:10:55] 物品:金创药(小量)	怪物:2910E150僵尸5	地图:H201	X:29	Y:72 
[2024/8/18 11:10:59] 物品:太阳水	怪物:23F74430僵尸5	地图:H201	X:32	Y:71 
[2024/8/18 11:11:11] 物品:强效太阳水	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效太阳水	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效太阳水	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效太阳水	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效太阳水	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效金创药	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效金创药	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效魔法药	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:强效魔法药	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:珍珠戒指	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:黑檀手镯	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:魔力手镯	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:11] 物品:野蛮冲撞	怪物:19056BD0尸王8	地图:H201	X:35	Y:78 
[2024/8/18 11:11:12] 物品:魔法药(小量)	怪物:27DD9560僵尸3	地图:D401	X:158	Y:39 
[2024/8/18 11:11:17] 物品:神圣战甲术	怪物:29F15A60恶灵尸王	地图:H201	X:35	Y:80 
[2024/8/18 11:11:17] 物品:施毒术	怪物:29F15A60恶灵尸王	地图:H201	X:35	Y:80 
[2024/8/18 11:11:17] 物品:雷电术	怪物:29F15A60恶灵尸王	地图:H201	X:35	Y:80 
[2024/8/18 11:11:17] 物品:大火球	怪物:29F15A60恶灵尸王	地图:H201	X:35	Y:80 
[2024/8/18 11:11:17] 物品:召唤骷髅	怪物:29F15A60恶灵尸王	地图:H201	X:35	Y:80 
[2024/8/18 11:11:22] 物品:精神力战法	怪物:290B9CF0僵尸3	地图:D401	X:156	Y:38 
[2024/8/18 11:11:22] 物品:雷电术	怪物:18D94450僵尸1	地图:H201	X:37	Y:92 
[2024/8/18 11:11:27] 物品:集体隐身术	怪物:2F4F9F60恶灵尸王	地图:H201	X:42	Y:81 
[2024/8/18 11:11:29] 物品:金创药(小量)	怪物:17B67900僵尸5	地图:H201	X:34	Y:91 
[2024/8/18 11:11:29] 物品:金创药(小量)	怪物:2EBB6330僵尸4	地图:H201	X:39	Y:91 
[2024/8/18 11:11:35] 物品:金创药(小量)	怪物:2DB4DD50僵尸5	地图:H201	X:34	Y:80 
[2024/8/18 11:11:38] 物品:金创药(小量)	怪物:23C2F190僵尸3	地图:D401	X:169	Y:26 
[2024/8/18 11:11:38] 物品:幽灵盾	怪物:23C2F190僵尸3	地图:D401	X:169	Y:26 
[2024/8/18 11:11:43] 物品:太阳水	怪物:2B00AE60僵尸5	地图:H201	X:34	Y:91 
[2024/8/18 11:11:44] 物品:强效太阳水	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效太阳水	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效太阳水	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效太阳水	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效太阳水	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效金创药	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效金创药	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效魔法药	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:强效魔法药	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:魅力戒指	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:44] 物品:蓝翡翠项链	怪物:2803D120尸王8	地图:H201	X:30	Y:93 
[2024/8/18 11:11:45] 物品:金创药(小量)	怪物:2B371870僵尸3	地图:D401	X:177	Y:30 
[2024/8/18 11:11:45] 物品:基本剑术	怪物:1C114010僵尸10	地图:H201	X:47	Y:90 
[2024/8/18 11:11:49] 物品:强效太阳水	怪物:275F50E0牛魔祭司0	地图:H010	X:372	Y:30 
[2024/8/18 11:11:49] 物品:太阳水	怪物:275F50E0牛魔祭司0	地图:H010	X:372	Y:30 
[2024/8/18 11:11:49] 物品:太阳水	怪物:275F50E0牛魔祭司0	地图:H010	X:372	Y:30 
[2024/8/18 11:11:49] 物品:太阳水	怪物:275F50E0牛魔祭司0	地图:H010	X:372	Y:30 
[2024/8/18 11:11:52] 物品:金创药(小量)	怪物:2A82B4F0僵尸4	地图:H201	X:50	Y:89 
[2024/8/18 11:12:0] 物品:金创药(小量)	怪物:27CF8ED0僵尸4	地图:H201	X:58	Y:96 
[2024/8/18 11:12:0] 物品:魔法药(小量)	怪物:27CF8ED0僵尸4	地图:H201	X:58	Y:96 
[2024/8/18 11:12:0] 物品:强效魔法药	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:0] 物品:强效魔法药	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:0] 物品:强效金创药	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:0] 物品:强效金创药	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:0] 物品:强效金创药	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:0] 物品:强效魔法药	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:0] 物品:圣魔手镯	怪物:0DD94DF0魔龙教主	地图:66	X:148	Y:167 
[2024/8/18 11:12:10] 物品:大火球	怪物:31B357E0恶灵尸王	地图:H201	X:59	Y:98 
[2024/8/18 11:12:13] 物品:火球术	怪物:2B4B8BA0僵尸1	地图:H201	X:56	Y:102 
[2024/8/18 11:12:14] 物品:施毒术	怪物:272F1E60僵尸1	地图:H201	X:110	Y:131 
[2024/8/18 11:12:17] 物品:黑檀手镯	怪物:190FBD60牛魔法师8	地图:H010	X:333	Y:336 
[2024/8/18 11:12:17] 物品:白色虎齿项链	怪物:190FBD60牛魔法师8	地图:H010	X:333	Y:336 
[2024/8/18 11:12:21] 物品:强效太阳水	怪物:2DE40BE0魔龙射手	地图:66	X:140	Y:168 
[2024/8/18 11:12:27] 物品:强效太阳水	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效太阳水	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效太阳水	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效太阳水	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效太阳水	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效金创药	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效金创药	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效魔法药	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:强效魔法药	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:珊瑚戒指	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:珍珠戒指	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:道德戒指	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:黑檀手镯	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:27] 物品:圣言术	怪物:2239BA00尸王8	地图:H201	X:47	Y:108 
[2024/8/18 11:12:31] 物品:强效魔法药	怪物:2A63CBA0牛魔将军8	地图:H010	X:328	Y:330 
[2024/8/18 11:12:38] 物品:强效太阳水	怪物:2758C050牛魔将军8	地图:H010	X:327	Y:330 
[2024/8/18 11:12:39] 物品:兽皮腰带	怪物:284AC240魔龙破甲兵1	地图:66	X:108	Y:171 
[2024/8/18 11:12:39] 物品:黑檀手镯	怪物:284AC240魔龙破甲兵1	地图:66	X:108	Y:171 
[2024/8/18 11:12:39] 物品:金创药(小量)	怪物:1C2FE9C0僵尸4	地图:H201	X:121	Y:156 
[2024/8/18 11:12:42] 物品:太阳水	怪物:245E68A0僵尸5	地图:H201	X:122	Y:153 
[2024/8/18 11:12:47] 物品:太阳水	怪物:06215640魔龙破甲兵	地图:66	X:109	Y:168 
[2024/8/18 11:12:51] 物品:魔法药(小量)	怪物:2BA99230僵尸4	地图:H201	X:41	Y:121 
[2024/8/18 11:12:51] 物品:火墙	怪物:2851BCA0恶灵尸王	地图:H201	X:125	Y:155 
[2024/8/18 11:12:51] 物品:隐身术	怪物:2851BCA0恶灵尸王	地图:H201	X:125	Y:155 
[2024/8/18 11:12:51] 物品:雷电术	怪物:2851BCA0恶灵尸王	地图:H201	X:125	Y:155 
[2024/8/18 11:12:51] 物品:地狱火	怪物:2851BCA0恶灵尸王	地图:H201	X:125	Y:155 
[2024/8/18 11:12:51] 物品:大火球	怪物:2851BCA0恶灵尸王	地图:H201	X:125	Y:155 
[2024/8/18 11:12:51] 物品:召唤骷髅	怪物:2851BCA0恶灵尸王	地图:H201	X:125	Y:155 
[2024/8/18 11:12:53] 物品:隐身术	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:召唤骷髅	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:灵魂火符	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:抗拒火环	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:精神力战法	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:火球术	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:治愈术	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:基本剑术	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:12:53] 物品:短剑	怪物:223E0DE0僵尸40	地图:H201	X:126	Y:155 
[2024/8/18 11:13:4] 物品:幽灵盾	怪物:1863D540恶灵尸王	地图:H201	X:37	Y:128 
[2024/8/18 11:13:4] 物品:灵魂火符	怪物:1863D540恶灵尸王	地图:H201	X:37	Y:128 
[2024/8/18 11:13:4] 物品:大火球	怪物:1863D540恶灵尸王	地图:H201	X:37	Y:128 
[2024/8/18 11:13:4] 物品:召唤骷髅	怪物:1863D540恶灵尸王	地图:H201	X:37	Y:128 
[2024/8/18 11:13:7] 物品:强效金创药	怪物:2B50A730牛魔祭司8	地图:H010	X:344	Y:345 
[2024/8/18 11:13:13] 物品:强效太阳水	怪物:19B9C0F0牛魔将军8	地图:H010	X:343	Y:346 
[2024/8/18 11:13:13] 物品:太阳水	怪物:19B9C0F0牛魔将军8	地图:H010	X:343	Y:346 
[2024/8/18 11:13:13] 物品:强效金创药	怪物:19B9C0F0牛魔将军8	地图:H010	X:343	Y:346 
[2024/8/18 11:13:13] 物品:修罗	怪物:19B9C0F0牛魔将军8	地图:H010	X:343	Y:346 
[2024/8/18 11:13:13] 物品:道士手镯	怪物:19B9C0F0牛魔将军8	地图:H010	X:343	Y:346 
[2024/8/18 11:13:16] 物品:生铁戒指	怪物:2996EE60牛魔法师8	地图:H010	X:345	Y:346 
[2024/8/18 11:13:21] 物品:灵魂战衣(女)	怪物:2A643A90牛魔法师8	地图:H010	X:350	Y:346 
[2024/8/18 11:13:21] 物品:太阳水	怪物:2062F670黑野猪8	地图:H002	X:194	Y:175 
[2024/8/18 11:13:28] 物品:强效太阳水	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:强效太阳水	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:强效太阳水	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:太阳水	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:太阳水	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:太阳水	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:幽灵项链	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:斩马刀	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:28] 物品:道士头盔	怪物:2E07FA90牛魔祭司0	地图:H010	X:350	Y:347 
[2024/8/18 11:13:31] 物品:强效太阳水	怪物:2A00ADC0牛魔将军0	地图:H010	X:350	Y:348 
[2024/8/18 11:13:31] 物品:太阳水	怪物:2A00ADC0牛魔将军0	地图:H010	X:350	Y:348 
[2024/8/18 11:13:31] 物品:放大镜	怪物:2A00ADC0牛魔将军0	地图:H010	X:350	Y:348 
[2024/8/18 11:13:34] 物品:魅力戒指	怪物:1AD95020钳虫8	地图:H001	X:135	Y:114 
[2024/8/18 11:13:35] 物品:强效金创药	怪物:29139120魔龙破甲兵1	地图:66	X:85	Y:211 
[2024/8/18 11:13:37] 物品:强效太阳水	怪物:282E14C0牛魔祭司0	地图:H010	X:349	Y:348 
[2024/8/18 11:13:37] 物品:强效太阳水	怪物:282E14C0牛魔祭司0	地图:H010	X:349	Y:348 
[2024/8/18 11:13:37] 物品:强效太阳水	怪物:282E14C0牛魔祭司0	地图:H010	X:349	Y:348 
[2024/8/18 11:13:37] 物品:太阳水	怪物:282E14C0牛魔祭司0	地图:H010	X:349	Y:348 
[2024/8/18 11:13:37] 物品:太阳水	怪物:282E14C0牛魔祭司0	地图:H010	X:349	Y:348 
[2024/8/18 11:13:37] 物品:破魂	怪物:282E14C0牛魔祭司0	地图:H010	X:349	Y:348 
[2024/8/18 11:13:44] 物品:太阳水	怪物:2A890720牛魔祭司0	地图:H010	X:350	Y:346 
[2024/8/18 11:13:44] 物品:强效金创药	怪物:18D151A0魔龙破甲兵	地图:66	X:84	Y:211 
[2024/8/18 11:13:44] 物品:珊瑚戒指	怪物:18D151A0魔龙破甲兵	地图:66	X:84	Y:211 
[2024/8/18 11:13:44] 物品:苹果	怪物:18D151A0魔龙破甲兵	地图:66	X:84	Y:211 
[2024/8/18 11:13:46] 物品:凝霜	怪物:2DC9FC40魔龙破甲兵	地图:66	X:84	Y:212 
[2024/8/18 11:13:46] 物品:苹果	怪物:2DC9FC40魔龙破甲兵	地图:66	X:84	Y:212 
[2024/8/18 11:13:48] 物品:金创药(中量)	怪物:28685A80恶灵僵尸8	地图:H001	X:139	Y:118 
[2024/8/18 11:13:48] 物品:金创药(中量)	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:48] 物品:强效金创药	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:48] 物品:攻杀剑术	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:48] 物品:灵魂火符	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:48] 物品:雷电术	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:48] 物品:诱惑之光	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:48] 物品:地狱火	怪物:2A251D50恶灵尸王	地图:H201	X:25	Y:161 
[2024/8/18 11:13:51] 物品:金创药(小量)	怪物:19301A20僵尸4	地图:H201	X:115	Y:154 
[2024/8/18 11:13:53] 物品:太阳水	怪物:2B3B4430僵尸5	地图:H201	X:23	Y:161 
[2024/8/18 11:13:54] 物品:破魂	怪物:234E1310牛魔将军8	地图:H010	X:350	Y:347 
[2024/8/18 11:13:54] 物品:珍珠戒指	怪物:234E1310牛魔将军8	地图:H010	X:350	Y:347 
[2024/8/18 11:13:57] 物品:强效太阳水	怪物:2B4D45E0牛魔祭司8	地图:H010	X:350	Y:346 
[2024/8/18 11:13:57] 物品:强效金创药	怪物:2B4D45E0牛魔祭司8	地图:H010	X:350	Y:346 
[2024/8/18 11:14:4] 物品:强效太阳水	怪物:299ED870牛魔将军0	地图:H010	X:350	Y:347 
[2024/8/18 11:14:4] 物品:太阳水	怪物:299ED870牛魔将军0	地图:H010	X:350	Y:347 
[2024/8/18 11:14:4] 物品:太阳水	怪物:299ED870牛魔将军0	地图:H010	X:350	Y:347 
[2024/8/18 11:14:7] 物品:强效魔法药	怪物:2DC24890魔龙射手	地图:66	X:84	Y:220 
[2024/8/18 11:14:7] 物品:强效金创药	怪物:2DC24890魔龙射手	地图:66	X:84	Y:220 
[2024/8/18 11:14:11] 物品:魔法药(小量)	怪物:2DE25020僵尸3	地图:D401	X:49	Y:46 
[2024/8/18 11:14:13] 物品:强效太阳水	怪物:23F37130恶灵尸王	地图:H201	X:33	Y:166 
[2024/8/18 11:14:13] 物品:幽灵盾	怪物:23F37130恶灵尸王	地图:H201	X:33	Y:166 
[2024/8/18 11:14:13] 物品:雷电术	怪物:23F37130恶灵尸王	地图:H201	X:33	Y:166 
[2024/8/18 11:14:13] 物品:地狱火	怪物:23F37130恶灵尸王	地图:H201	X:33	Y:166 
[2024/8/18 11:14:13] 物品:强效太阳水	怪物:2B32C490牛魔祭司8	地图:H010	X:355	Y:348 
[2024/8/18 11:14:14] 物品:太阳水	怪物:2DCA28A0魔龙破甲兵	地图:66	X:85	Y:224 
[2024/8/18 11:14:14] 物品:道士头盔	怪物:2DCA28A0魔龙破甲兵	地图:66	X:85	Y:224 
[2024/8/18 11:14:14] 物品:灵魂战衣(女)	怪物:2DCA28A0魔龙破甲兵	地图:66	X:85	Y:224 
[2024/8/18 11:14:18] 物品:魅力戒指	怪物:2A5C98D0牛魔侍卫8	地图:H010	X:354	Y:346 
[2024/8/18 11:14:22] 物品:金创药(小量)	怪物:059100E0僵尸5	地图:H201	X:109	Y:163 
[2024/8/18 11:14:26] 物品:魅力戒指	怪物:20613AB0牛魔法师8	地图:H010	X:358	Y:339 
[2024/8/18 11:14:28] 物品:金创药(小量)	怪物:19E9EB70僵尸3	地图:D401	X:41	Y:51 
