[2024/8/21 4:0:2] 物品:降魔	怪物:25BC94E0牛魔法师8	地图:H010	X:338	Y:196 
[2024/8/21 4:15:20] 物品:强效魔法药	怪物:28F13900白野猪8	地图:H204	X:66	Y:67 
[2024/8/21 4:15:20] 物品:强效魔法药	怪物:28F13900白野猪8	地图:H204	X:66	Y:67 
[2024/8/21 4:15:20] 物品:强效魔法药	怪物:28F13900白野猪8	地图:H204	X:66	Y:67 
[2024/8/21 4:15:20] 物品:蓝翡翠项链	怪物:28F13900白野猪8	地图:H204	X:66	Y:67 
[2024/8/21 4:15:20] 物品:黑檀手镯	怪物:28F13900白野猪8	地图:H204	X:66	Y:67 
[2024/8/21 4:15:22] 物品:竹笛	怪物:25713840祖玛卫士83	地图:H008	X:39	Y:23 
[2024/8/21 4:15:25] 物品:骷髅头盔	怪物:257C9890祖玛雕像8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:29] 物品:灯笼项链	怪物:2AD3A140祖玛雕像8	地图:H204	X:63	Y:64 
[2024/8/21 4:15:31] 物品:重盔甲(女)	怪物:252CAA50祖玛弓箭手8	地图:H204	X:59	Y:59 
[2024/8/21 4:15:33] 物品:强效太阳水	怪物:2C8F4CF0邪恶巨人8	地图:H009	X:173	Y:106 
[2024/8/21 4:15:33] 物品:强效太阳水	怪物:2C8F4CF0邪恶巨人8	地图:H009	X:173	Y:106 
[2024/8/21 4:15:33] 物品:强效太阳水	怪物:2C8F4CF0邪恶巨人8	地图:H009	X:173	Y:106 
[2024/8/21 4:15:33] 物品:强效太阳水	怪物:2C8F4CF0邪恶巨人8	地图:H009	X:173	Y:106 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:太阳水	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:金创药(中量)	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:金创药(中量)	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:金创药(中量)	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:魔法药(中量)	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:魔法药(中量)	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:魔法药(中量)	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效金创药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:强效魔法药	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:34] 物品:蛇眼戒指	怪物:139FA980白野猪8	地图:H204	X:62	Y:64 
[2024/8/21 4:15:50] 物品:强效太阳水	怪物:23ADEAE0虹魔蝎卫80	地图:H008	X:62	Y:62 
[2024/8/21 4:15:50] 物品:强效太阳水	怪物:23ADEAE0虹魔蝎卫80	地图:H008	X:62	Y:62 
[2024/8/21 4:15:50] 物品:强效太阳水	怪物:23ADEAE0虹魔蝎卫80	地图:H008	X:62	Y:62 
[2024/8/21 4:15:50] 物品:强效太阳水	怪物:23ADEAE0虹魔蝎卫80	地图:H008	X:62	Y:62 
[2024/8/21 4:15:50] 物品:强效太阳水	怪物:23ADEAE0虹魔蝎卫80	地图:H008	X:62	Y:62 
[2024/8/21 4:15:50] 物品:珍珠戒指	怪物:23ADEAE0虹魔蝎卫80	地图:H008	X:62	Y:62 
[2024/8/21 4:15:53] 物品:黑色水晶戒指	怪物:23655EA0祖玛卫士8	地图:H204	X:82	Y:77 
[2024/8/21 4:15:55] 物品:斩马刀	怪物:23714290祖玛弓箭手8	地图:H204	X:81	Y:85 
[2024/8/21 4:15:55] 物品:骷髅戒指	怪物:23714290祖玛弓箭手8	地图:H204	X:81	Y:85 
[2024/8/21 4:16:0] 物品:太阳水	怪物:2512E290花吻蜘蛛8	地图:H009	X:162	Y:109 
[2024/8/21 4:16:0] 物品:强效金创药	怪物:2512E290花吻蜘蛛8	地图:H009	X:162	Y:109 
[2024/8/21 4:16:0] 物品:强效魔法药	怪物:2512E290花吻蜘蛛8	地图:H009	X:162	Y:109 
[2024/8/21 4:16:7] 物品:金创药(中量)	怪物:2542FEA0天狼蜘蛛8	地图:H009	X:154	Y:108 
[2024/8/21 4:16:7] 物品:魔法药(中量)	怪物:2542FEA0天狼蜘蛛8	地图:H009	X:154	Y:108 
[2024/8/21 4:16:7] 物品:太阳水	怪物:2542FEA0天狼蜘蛛8	地图:H009	X:154	Y:108 
[2024/8/21 4:16:11] 物品:绿色项链	怪物:2CB860F0祖玛弓箭手83	地图:H008	X:55	Y:58 
[2024/8/21 4:16:15] 物品:强效魔法药	怪物:2A40CE90祖玛弓箭手83	地图:H008	X:61	Y:65 
[2024/8/21 4:16:25] 物品:强效金创药	怪物:23CEE6C0祖玛弓箭手83	地图:H008	X:67	Y:68 
[2024/8/21 4:16:32] 物品:强效太阳水	怪物:2C91F4C0牛魔祭司0	地图:H010	X:147	Y:165 
[2024/8/21 4:16:32] 物品:强效太阳水	怪物:2C91F4C0牛魔祭司0	地图:H010	X:147	Y:165 
[2024/8/21 4:16:32] 物品:强效太阳水	怪物:2C91F4C0牛魔祭司0	地图:H010	X:147	Y:165 
[2024/8/21 4:16:32] 物品:太阳水	怪物:2C91F4C0牛魔祭司0	地图:H010	X:147	Y:165 
[2024/8/21 4:16:32] 物品:太阳水	怪物:2C91F4C0牛魔祭司0	地图:H010	X:147	Y:165 
[2024/8/21 4:16:32] 物品:斩马刀	怪物:2C91F4C0牛魔祭司0	地图:H010	X:147	Y:165 
[2024/8/21 4:16:39] 物品:匕首	怪物:13ECBB60钉耙猫	地图:0	X:273	Y:593 
[2024/8/21 4:16:40] 物品:金创药(中量)	怪物:24526EB0祖玛卫士8	地图:H204	X:44	Y:89 
[2024/8/21 4:16:40] 物品:魔法长袍(男)	怪物:24526EB0祖玛卫士8	地图:H204	X:44	Y:89 
[2024/8/21 4:16:46] 物品:辟邪手镯	怪物:2B5B49F0祖玛弓箭手83	地图:H008	X:49	Y:64 
[2024/8/21 4:17:4] 物品:强效太阳水	怪物:2AABBAC0牛魔祭司0	地图:H010	X:166	Y:151 
[2024/8/21 4:17:4] 物品:强效太阳水	怪物:2AABBAC0牛魔祭司0	地图:H010	X:166	Y:151 
[2024/8/21 4:17:4] 物品:太阳水	怪物:2AABBAC0牛魔祭司0	地图:H010	X:166	Y:151 
[2024/8/21 4:17:4] 物品:太阳水	怪物:2AABBAC0牛魔祭司0	地图:H010	X:166	Y:151 
[2024/8/21 4:17:4] 物品:龙纹剑	怪物:2AABBAC0牛魔祭司0	地图:H010	X:166	Y:151 
[2024/8/21 4:17:17] 物品:强效太阳水	怪物:2ADBE1B0牛魔将军0	地图:H010	X:171	Y:161 
[2024/8/21 4:17:17] 物品:强效太阳水	怪物:2ADBE1B0牛魔将军0	地图:H010	X:171	Y:161 
[2024/8/21 4:17:17] 物品:强效太阳水	怪物:2ADBE1B0牛魔将军0	地图:H010	X:171	Y:161 
[2024/8/21 4:17:17] 物品:强效太阳水	怪物:2ADBE1B0牛魔将军0	地图:H010	X:171	Y:161 
[2024/8/21 4:17:17] 物品:太阳水	怪物:2ADBE1B0牛魔将军0	地图:H010	X:171	Y:161 
[2024/8/21 4:17:17] 物品:太阳水	怪物:2ADBE1B0牛魔将军0	地图:H010	X:171	Y:161 
[2024/8/21 4:17:33] 物品:蛇眼戒指	怪物:259B38B0奴隶	地图:F004	X:17	Y:28 
[2024/8/21 4:17:40] 物品:白色虎齿项链	怪物:2565CCB0牛魔侍卫8	地图:H010	X:170	Y:157 
[2024/8/21 4:17:44] 物品:强效太阳水	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:17:44] 物品:强效太阳水	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:17:44] 物品:强效太阳水	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:17:44] 物品:强效太阳水	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:17:44] 物品:太阳水	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:17:44] 物品:太阳水	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:17:44] 物品:修罗	怪物:25526AC0牛魔将军0	地图:H010	X:168	Y:159 
[2024/8/21 4:18:5] 物品:强效太阳水	怪物:2CA671A0牛魔祭司0	地图:H010	X:166	Y:166 
[2024/8/21 4:18:5] 物品:强效太阳水	怪物:2CA671A0牛魔祭司0	地图:H010	X:166	Y:166 
[2024/8/21 4:18:5] 物品:太阳水	怪物:2CA671A0牛魔祭司0	地图:H010	X:166	Y:166 
[2024/8/21 4:18:5] 物品:太阳水	怪物:2CA671A0牛魔祭司0	地图:H010	X:166	Y:166 
[2024/8/21 4:18:5] 物品:偃月	怪物:2CA671A0牛魔祭司0	地图:H010	X:166	Y:166 
[2024/8/21 4:18:5] 物品:道士手镯	怪物:2CA671A0牛魔祭司0	地图:H010	X:166	Y:166 
[2024/8/21 4:18:7] 物品:强效太阳水	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:太阳水	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:思贝儿手镯	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:辟邪手镯	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:记忆头盔	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:幽灵战衣(男)	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:凝霜	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:7] 物品:黑色水晶戒指	怪物:23E0C4E0牛魔祭司0	地图:H010	X:164	Y:167 
[2024/8/21 4:18:15] 物品:金戒指	怪物:254CB3E0牛魔法师8	地图:H010	X:165	Y:173 
[2024/8/21 4:18:15] 物品:金手镯	怪物:254CB3E0牛魔法师8	地图:H010	X:165	Y:173 
[2024/8/21 4:18:15] 物品:偃月	怪物:254CB3E0牛魔法师8	地图:H010	X:165	Y:173 
[2024/8/21 4:18:34] 物品:灵魂战衣(男)	怪物:2AB0C040黑色恶蛆8	地图:H004	X:99	Y:73 
[2024/8/21 4:18:51] 物品:降魔	怪物:2CCA4A50牛魔侍卫8	地图:H010	X:178	Y:174 
[2024/8/21 4:18:58] 物品:偃月	怪物:2ABBCDC0牛魔侍卫8	地图:H010	X:179	Y:175 
[2024/8/21 4:19:4] 物品:强效太阳水	怪物:2C8EF220牛魔祭司8	地图:H010	X:175	Y:176 
[2024/8/21 4:19:4] 物品:HP强化药水	怪物:2C8EF220牛魔祭司8	地图:H010	X:175	Y:176 
[2024/8/21 4:19:17] 物品:强效太阳水	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:17] 物品:太阳水	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:17] 物品:太阳水	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:17] 物品:灯笼项链	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:17] 物品:蓝翡翠项链	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:17] 物品:黑色水晶戒指	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:17] 物品:金戒指	怪物:2C9A4F30牛魔祭司0	地图:H010	X:184	Y:166 
[2024/8/21 4:19:24] 物品:魔法长袍(女)	怪物:18972BB0牛魔法师8	地图:H010	X:177	Y:164 
[2024/8/21 4:19:36] 物品:魔法长袍(女)	怪物:2C945FC0牛魔法师8	地图:H010	X:181	Y:154 
[2024/8/21 4:19:59] 物品:强效魔法药	怪物:2ACE2E70牛魔法师8	地图:H010	X:234	Y:242 
[2024/8/21 4:19:59] 物品:金戒指	怪物:2ACE2E70牛魔法师8	地图:H010	X:234	Y:242 
[2024/8/21 4:19:59] 物品:白色虎齿项链	怪物:2ACE2E70牛魔法师8	地图:H010	X:234	Y:242 
[2024/8/21 4:19:59] 物品:狂风戒指	怪物:2ACE2E70牛魔法师8	地图:H010	X:234	Y:242 
[2024/8/21 4:20:3] 物品:灵魂战衣(男)	怪物:25624080牛魔法师8	地图:H010	X:236	Y:248 
[2024/8/21 4:20:12] 物品:强效太阳水	怪物:2CB4D340牛魔祭司8	地图:H010	X:238	Y:246 
[2024/8/21 4:20:12] 物品:竹笛	怪物:2CB4D340牛魔祭司8	地图:H010	X:238	Y:246 
[2024/8/21 4:20:12] 物品:强效太阳水	怪物:2ADB9680牛魔祭司8	地图:H010	X:236	Y:247 
[2024/8/21 4:20:12] 物品:强效太阳水	怪物:2ADB9680牛魔祭司8	地图:H010	X:236	Y:247 
[2024/8/21 4:20:12] 物品:龙纹剑	怪物:2ADB9680牛魔祭司8	地图:H010	X:236	Y:247 
[2024/8/21 4:20:23] 物品:强效太阳水	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:强效太阳水	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:太阳水	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:太阳水	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:太阳水	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:太阳水	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:龙纹剑	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:幽灵战衣(女)	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:23] 物品:黑檀手镯	怪物:25AA1B00牛魔将军0	地图:H010	X:240	Y:246 
[2024/8/21 4:20:28] 物品:生铁戒指	怪物:255BB2F0牛魔法师8	地图:H010	X:240	Y:243 
[2024/8/21 4:20:31] 物品:强效金创药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效魔法药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效金创药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效魔法药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效金创药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效魔法药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效金创药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效魔法药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效金创药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:强效魔法药	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:祝福油	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:战神戒指	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:31] 物品:寒冰掌	怪物:249262D0暗之魔龙教主	地图:H008	X:54	Y:68 
[2024/8/21 4:20:35] 物品:太阳水	怪物:25E8C950黑色恶蛆8	地图:H004	X:14	Y:26 
[2024/8/21 4:21:20] 物品:战神油	怪物:060AB940虎蛇	地图:2	X:477	Y:478 
[2024/8/21 4:21:36] 物品:灵魂战衣(男)	怪物:2AADCDC0牛魔侍卫8	地图:H010	X:243	Y:248 
[2024/8/21 4:21:46] 物品:降魔	怪物:2B5C27D0牛魔侍卫8	地图:H010	X:241	Y:249 
[2024/8/21 4:22:0] 物品:强效太阳水	怪物:25D388D0虹魔蝎卫80	地图:H008	X:62	Y:43 
[2024/8/21 4:22:0] 物品:强效太阳水	怪物:25D388D0虹魔蝎卫80	地图:H008	X:62	Y:43 
[2024/8/21 4:22:0] 物品:强效太阳水	怪物:25D388D0虹魔蝎卫80	地图:H008	X:62	Y:43 
[2024/8/21 4:22:0] 物品:恶魔长袍(男)	怪物:25D388D0虹魔蝎卫80	地图:H008	X:62	Y:43 
[2024/8/21 4:22:0] 物品:蛇眼戒指	怪物:25D388D0虹魔蝎卫80	地图:H008	X:62	Y:43 
[2024/8/21 4:22:16] 物品:强效太阳水	怪物:25807130祖玛雕像83	地图:H008	X:28	Y:34 
[2024/8/21 4:22:16] 物品:幽灵战衣(女)	怪物:25807130祖玛雕像83	地图:H008	X:28	Y:34 
[2024/8/21 4:22:17] 物品:强效太阳水	怪物:24B11F10牛魔祭司8	地图:H010	X:128	Y:102 
[2024/8/21 4:22:19] 物品:龙之戒指	怪物:11F67530祖玛卫士83	地图:H008	X:29	Y:33 
[2024/8/21 4:22:29] 物品:战神盔甲(女)	怪物:253658D0牛魔法师8	地图:H010	X:298	Y:98 
[2024/8/21 4:22:32] 物品:灵魂战衣(女)	怪物:254C7150巨型蠕虫8	地图:H004	X:117	Y:118 
[2024/8/21 4:22:35] 物品:黑檀手镯	怪物:12006CF0祖玛卫士83	地图:H008	X:29	Y:31 
[2024/8/21 4:22:35] 物品:骷髅戒指	怪物:12006CF0祖玛卫士83	地图:H008	X:29	Y:31 
[2024/8/21 4:22:38] 物品:太阳水	怪物:24947830黑色恶蛆8	地图:H004	X:122	Y:116 
[2024/8/21 4:22:41] 物品:强效太阳水	怪物:259D3580牛魔祭司0	地图:H010	X:299	Y:98 
[2024/8/21 4:22:41] 物品:太阳水	怪物:259D3580牛魔祭司0	地图:H010	X:299	Y:98 
[2024/8/21 4:22:41] 物品:太阳水	怪物:259D3580牛魔祭司0	地图:H010	X:299	Y:98 
[2024/8/21 4:22:41] 物品:辟邪手镯	怪物:259D3580牛魔祭司0	地图:H010	X:299	Y:98 
[2024/8/21 4:22:41] 物品:道士头盔	怪物:259D3580牛魔祭司0	地图:H010	X:299	Y:98 
[2024/8/21 4:22:42] 物品:强效太阳水	怪物:2C9A6560牛魔将军8	地图:H010	X:300	Y:100 
[2024/8/21 4:22:42] 物品:强效魔法药	怪物:2C9A6560牛魔将军8	地图:H010	X:300	Y:100 
[2024/8/21 4:23:4] 物品:攻击力药水	怪物:259B2280牛魔将军8	地图:H010	X:265	Y:257 
[2024/8/21 4:23:4] 物品:夏普儿手镯	怪物:259B2280牛魔将军8	地图:H010	X:265	Y:257 
[2024/8/21 4:23:5] 物品:灵魂战衣(男)	怪物:2AB761A0牛魔侍卫8	地图:H010	X:287	Y:127 
[2024/8/21 4:23:5] 物品:白色虎齿项链	怪物:2AB761A0牛魔侍卫8	地图:H010	X:287	Y:127 
[2024/8/21 4:23:6] 物品:强效太阳水	怪物:2696CA40牛魔将军8	地图:H010	X:262	Y:255 
[2024/8/21 4:23:6] 物品:强效太阳水	怪物:2696CA40牛魔将军8	地图:H010	X:262	Y:255 
[2024/8/21 4:23:7] 物品:强效太阳水	怪物:25546910牛魔将军8	地图:H010	X:261	Y:253 
[2024/8/21 4:23:7] 物品:强效魔法药	怪物:25546910牛魔将军8	地图:H010	X:261	Y:253 
[2024/8/21 4:23:7] 物品:骷髅头盔	怪物:25546910牛魔将军8	地图:H010	X:261	Y:253 
[2024/8/21 4:23:7] 物品:灯笼项链	怪物:25546910牛魔将军8	地图:H010	X:261	Y:253 
[2024/8/21 4:23:8] 物品:强效金创药	怪物:2B6268F0牛魔将军8	地图:H010	X:265	Y:256 
[2024/8/21 4:23:8] 物品:强效太阳水	怪物:2C9A0CA0牛魔将军8	地图:H010	X:289	Y:127 
[2024/8/21 4:23:8] 物品:阎罗手套	怪物:2C9A0CA0牛魔将军8	地图:H010	X:289	Y:127 
[2024/8/21 4:23:13] 物品:强效太阳水	怪物:2C9036F0牛魔祭司0	地图:H010	X:261	Y:255 
[2024/8/21 4:23:13] 物品:强效太阳水	怪物:2C9036F0牛魔祭司0	地图:H010	X:261	Y:255 
[2024/8/21 4:23:13] 物品:强效太阳水	怪物:2C9036F0牛魔祭司0	地图:H010	X:261	Y:255 
[2024/8/21 4:23:13] 物品:太阳水	怪物:2C9036F0牛魔祭司0	地图:H010	X:261	Y:255 
[2024/8/21 4:23:13] 物品:灯笼项链	怪物:2C9036F0牛魔祭司0	地图:H010	X:261	Y:255 
[2024/8/21 4:23:17] 物品:降魔	怪物:2A8CC370牛魔法师8	地图:H010	X:260	Y:255 
[2024/8/21 4:23:20] 物品:金戒指	怪物:25FAE130牛魔侍卫8	地图:H010	X:329	Y:372 
[2024/8/21 4:23:20] 物品:黑檀手镯	怪物:25FAE130牛魔侍卫8	地图:H010	X:329	Y:372 
[2024/8/21 4:23:21] 物品:灵魂战衣(男)	怪物:24953FE0牛魔法师8	地图:H010	X:329	Y:374 
[2024/8/21 4:23:21] 物品:生铁戒指	怪物:24953FE0牛魔法师8	地图:H010	X:329	Y:374 
[2024/8/21 4:23:24] 物品:强效太阳水	怪物:257C8260牛魔祭司0	地图:H010	X:260	Y:253 
[2024/8/21 4:23:24] 物品:强效太阳水	怪物:257C8260牛魔祭司0	地图:H010	X:260	Y:253 
[2024/8/21 4:23:24] 物品:太阳水	怪物:257C8260牛魔祭司0	地图:H010	X:260	Y:253 
[2024/8/21 4:23:24] 物品:太阳水	怪物:257C8260牛魔祭司0	地图:H010	X:260	Y:253 
[2024/8/21 4:23:24] 物品:太阳水	怪物:257C8260牛魔祭司0	地图:H010	X:260	Y:253 
[2024/8/21 4:23:27] 物品:强效太阳水	怪物:2CAF4D30牛魔将军8	地图:H010	X:261	Y:252 
[2024/8/21 4:23:27] 物品:太阳水	怪物:2CAF4D30牛魔将军8	地图:H010	X:261	Y:252 
[2024/8/21 4:23:29] 物品:降魔	怪物:233CF0C0牛魔侍卫8	地图:H010	X:328	Y:370 
[2024/8/21 4:23:39] 物品:强效太阳水	怪物:2AA311B0牛魔祭司0	地图:H010	X:265	Y:246 
[2024/8/21 4:23:39] 物品:强效太阳水	怪物:2AA311B0牛魔祭司0	地图:H010	X:265	Y:246 
[2024/8/21 4:23:39] 物品:强效太阳水	怪物:2AA311B0牛魔祭司0	地图:H010	X:265	Y:246 
[2024/8/21 4:23:39] 物品:太阳水	怪物:2AA311B0牛魔祭司0	地图:H010	X:265	Y:246 
[2024/8/21 4:23:44] 物品:强效太阳水	怪物:2ACC8800牛魔祭司8	地图:H010	X:264	Y:247 
[2024/8/21 4:23:44] 物品:强效太阳水	怪物:2ACC8800牛魔祭司8	地图:H010	X:264	Y:247 
[2024/8/21 4:23:44] 物品:降魔	怪物:2ACC8800牛魔祭司8	地图:H010	X:264	Y:247 
[2024/8/21 4:23:44] 物品:白色虎齿项链	怪物:2ACC8800牛魔祭司8	地图:H010	X:264	Y:247 
[2024/8/21 4:23:44] 物品:死神手套	怪物:2ACC8800牛魔祭司8	地图:H010	X:264	Y:247 
[2024/8/21 4:23:45] 物品:强效太阳水	怪物:25836210牛魔将军0	地图:H010	X:324	Y:374 
[2024/8/21 4:23:45] 物品:太阳水	怪物:25836210牛魔将军0	地图:H010	X:324	Y:374 
[2024/8/21 4:23:45] 物品:太阳水	怪物:25836210牛魔将军0	地图:H010	X:324	Y:374 
