[2024/8/19 4:0:6] 物品:魔法药(中量)	怪物:28F35F40祖玛雕像8	地图:H204	X:67	Y:27 
[2024/8/19 4:11:49] 物品:强效金创药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效金创药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效金创药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:强效魔法药	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:49] 物品:精神力药水	怪物:2224AE20虹魔蝎卫8	地图:H204	X:32	Y:72 
[2024/8/19 4:11:54] 物品:强效太阳水	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效太阳水	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效太阳水	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效太阳水	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效太阳水	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效金创药	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效金创药	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效魔法药	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:强效魔法药	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:骷髅戒指	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:黑色水晶戒指	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:蛇眼戒指	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:黑檀手镯	怪物:29551AC0尸王8	地图:H201	X:162	Y:71 
[2024/8/19 4:11:54] 物品:魅力戒指	怪物:19BA7270祖玛弓箭手8	地图:H204	X:30	Y:76 
[2024/8/19 4:11:57] 物品:凤凰明珠	怪物:1BE6A5D0祖玛雕像8	地图:H204	X:60	Y:58 
[2024/8/19 4:11:59] 物品:强效太阳水	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效太阳水	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效太阳水	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效太阳水	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效太阳水	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效金创药	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效金创药	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效魔法药	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:强效魔法药	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:11:59] 物品:困魔咒	怪物:1E20F760尸王8	地图:H201	X:163	Y:71 
[2024/8/19 4:12:0] 物品:破魂	怪物:1DFA17D0祖玛卫士8	地图:H204	X:33	Y:78 
[2024/8/19 4:12:5] 物品:隐身术	怪物:21EB4C00恶灵尸王	地图:H201	X:164	Y:71 
[2024/8/19 4:12:5] 物品:灵魂火符	怪物:21EB4C00恶灵尸王	地图:H201	X:164	Y:71 
[2024/8/19 4:12:6] 物品:太阳水	怪物:1811EEA0黑野猪8	地图:H002	X:250	Y:37 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:太阳水	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:金创药(中量)	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:金创药(中量)	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:金创药(中量)	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:魔法药(中量)	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:魔法药(中量)	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:魔法药(中量)	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效金创药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:强效魔法药	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:10] 物品:辟邪手镯	怪物:2A0A57F0白野猪8	地图:H204	X:59	Y:59 
[2024/8/19 4:12:12] 物品:回城卷	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:回城卷	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:回城卷	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:回城卷	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:回城卷	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:回城卷	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效太阳水	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效金创药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:12] 物品:强效魔法药	怪物:28CBE460重装使者	地图:H204	X:59	Y:58 
[2024/8/19 4:12:15] 物品:魔法药(小量)	怪物:18385F40僵尸4	地图:H201	X:163	Y:85 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:太阳水	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:金创药(中量)	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:金创药(中量)	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:金创药(中量)	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:魔法药(中量)	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:魔法药(中量)	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:魔法药(中量)	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效金创药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:强效魔法药	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:16] 物品:黑色水晶戒指	怪物:2B5D5ED0白野猪8	地图:H204	X:26	Y:74 
[2024/8/19 4:12:17] 物品:蓝色水晶戒指	怪物:30F9EAF0祖玛雕像8	地图:H204	X:55	Y:48 
[2024/8/19 4:12:18] 物品:金创药(小量)	怪物:15CE55B0僵尸4	地图:H201	X:164	Y:85 
[2024/8/19 4:12:21] 物品:魔鬼项链	怪物:290D3EF0祖玛雕像8	地图:H204	X:57	Y:46 
[2024/8/19 4:12:21] 物品:魔力手镯	怪物:290D3EF0祖玛雕像8	地图:H204	X:57	Y:46 
[2024/8/19 4:12:24] 物品:强效太阳水	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效太阳水	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效太阳水	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效太阳水	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效太阳水	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效金创药	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效金创药	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效魔法药	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:强效魔法药	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:黑色水晶戒指	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:24] 物品:黑檀手镯	怪物:0D9C0120尸王8	地图:H201	X:163	Y:85 
[2024/8/19 4:12:25] 物品:魔力手镯	怪物:31E86310祖玛卫士8	地图:H204	X:54	Y:48 
[2024/8/19 4:12:26] 物品:金创药(小量)	怪物:28B6F050僵尸4	地图:H201	X:163	Y:83 
[2024/8/19 4:12:26] 物品:太阳水	怪物:28310B60黑野猪8	地图:H002	X:112	Y:122 
[2024/8/19 4:12:29] 物品:寒冰掌	怪物:1AA955A0魔龙巨蛾	地图:66	X:142	Y:77 
[2024/8/19 4:12:29] 物品:紫绸靴	怪物:1AA955A0魔龙巨蛾	地图:66	X:142	Y:77 
[2024/8/19 4:12:29] 物品:金创药(中量)	怪物:28E42210祖玛弓箭手8	地图:H204	X:51	Y:43 
[2024/8/19 4:12:29] 物品:八荒	怪物:28E42210祖玛弓箭手8	地图:H204	X:51	Y:43 
[2024/8/19 4:12:31] 物品:魔法药(小量)	怪物:2902DAC0僵尸5	地图:H201	X:164	Y:88 
[2024/8/19 4:12:39] 物品:强效太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:太阳水	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:金创药(中量)	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:金创药(中量)	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效金创药	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效金创药	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效金创药	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:魔法药(中量)	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:魔法药(中量)	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效魔法药	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效魔法药	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:强效魔法药	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:思贝儿手镯	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:夏普儿手镯	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:39] 物品:集体隐身术	怪物:29C86650沃玛卫士8	地图:H204	X:58	Y:43 
[2024/8/19 4:12:40] 物品:强效太阳水	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效太阳水	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效太阳水	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效太阳水	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效太阳水	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效金创药	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效金创药	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效魔法药	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效魔法药	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:黑檀手镯	怪物:31AFFAC0尸王8	地图:H201	X:164	Y:87 
[2024/8/19 4:12:40] 物品:强效魔法药	怪物:2A70F230魔龙射手	地图:66	X:134	Y:80 
[2024/8/19 4:12:45] 物品:太阳水	怪物:24956780僵尸5	地图:H201	X:164	Y:87 
