[2024/8/17 17:0:5] 物品:魔法药(小量)	怪物:1BE39EC0僵尸5	地图:H201	X:94	Y:97 
[2024/8/17 17:12:20] 物品:坚固手套	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:魔力手镯	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:铁剑	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:短剑	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:轻型盔甲(男)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:轻型盔甲(女)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:青铜斧	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:黑檀项链	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:黄色水晶项链	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:黑色水晶项链	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:青铜头盔	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:金创药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:金创药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:金创药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:金创药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:魔法药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:魔法药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:魔法药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:20] 物品:魔法药(小量)	怪物:2A46F340僵尸50	地图:H201	X:42	Y:131 
[2024/8/17 17:12:21] 物品:金创药(小量)	怪物:2B446940僵尸5	地图:H201	X:106	Y:80 
[2024/8/17 17:12:23] 物品:金创药(小量)	怪物:2829D710僵尸3	地图:D2000	X:177	Y:29 
[2024/8/17 17:12:26] 物品:魔法药(中量)	怪物:191D6B30僵尸10	地图:H201	X:43	Y:129 
[2024/8/17 17:12:30] 物品:金创药(小量)	怪物:038C62B0僵尸4	地图:H201	X:43	Y:130 
[2024/8/17 17:12:35] 物品:金创药(小量)	怪物:24568890僵尸4	地图:H201	X:52	Y:130 
[2024/8/17 17:12:35] 物品:精神力战法	怪物:24568890僵尸4	地图:H201	X:52	Y:130 
[2024/8/17 17:12:39] 物品:强效太阳水	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效太阳水	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效太阳水	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效太阳水	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效太阳水	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效金创药	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效金创药	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效魔法药	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:强效魔法药	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:蛇眼戒指	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:魅力戒指	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:蓝翡翠项链	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:黑檀手镯	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:39] 物品:魔力手镯	怪物:2A333A10尸王8	地图:H201	X:108	Y:81 
[2024/8/17 17:12:41] 物品:金戒指	怪物:03997AF0红野猪8	地图:H002	X:204	Y:75 
[2024/8/17 17:12:42] 物品:强效太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:疗伤药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:疗伤药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效太阳水	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效金创药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:42] 物品:强效魔法药	怪物:20BFEB90钢牙蜘蛛0	地图:D10013	X:104	Y:46 
[2024/8/17 17:12:43] 物品:隐身术	怪物:1933EEA0僵尸5	地图:H201	X:108	Y:79 
[2024/8/17 17:12:43] 物品:治愈术	怪物:1933EEA0僵尸5	地图:H201	X:108	Y:79 
[2024/8/17 17:12:43] 物品:刺杀剑术	怪物:27897E50恶灵尸王	地图:H201	X:52	Y:132 
[2024/8/17 17:12:43] 物品:疾光电影	怪物:27897E50恶灵尸王	地图:H201	X:52	Y:132 
[2024/8/17 17:12:43] 物品:雷电术	怪物:27897E50恶灵尸王	地图:H201	X:52	Y:132 
[2024/8/17 17:12:43] 物品:大火球	怪物:27897E50恶灵尸王	地图:H201	X:52	Y:132 
[2024/8/17 17:12:43] 物品:召唤骷髅	怪物:27897E50恶灵尸王	地图:H201	X:52	Y:132 
[2024/8/17 17:12:43] 物品:坚固手套	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:太阳水	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:太阳水	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:太阳水	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:太阳水	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:金创药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:金创药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:金创药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:金创药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:魔法药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:魔法药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:魔法药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:魔法药(中量)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效金创药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效金创药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效金创药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效金创药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效魔法药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效魔法药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效魔法药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:强效魔法药	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:43] 物品:魔法长袍(男)	怪物:20C001C0天狼蜘蛛0	地图:D10013	X:104	Y:45 
[2024/8/17 17:12:44] 物品:金创药(小量)	怪物:032DDF80僵尸3	地图:D2000	X:179	Y:52 
[2024/8/17 17:12:45] 物品:金创药(小量)	怪物:24568890僵尸4	地图:H201	X:52	Y:130 
[2024/8/17 17:12:48] 物品:强效金创药	怪物:20B00B30暴牙蜘蛛	地图:D10013	X:104	Y:47 
[2024/8/17 17:12:48] 物品:强效魔法药	怪物:20B00B30暴牙蜘蛛	地图:D10013	X:104	Y:47 
[2024/8/17 17:12:49] 物品:神圣战甲术	怪物:2A3B5E30僵尸1	地图:H201	X:52	Y:131 
[2024/8/17 17:12:49] 物品:攻杀剑术	怪物:2A3B5E30僵尸1	地图:H201	X:52	Y:131 
[2024/8/17 17:12:59] 物品:太阳水	怪物:20E412D0钢牙蜘蛛	地图:D1002	X:216	Y:116 
[2024/8/17 17:12:59] 物品:强效金创药	怪物:20E412D0钢牙蜘蛛	地图:D1002	X:216	Y:116 
[2024/8/17 17:12:59] 物品:强效魔法药	怪物:20E412D0钢牙蜘蛛	地图:D1002	X:216	Y:116 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:太阳水	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效金创药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:4] 物品:强效魔法药	怪物:1809B190触龙神8	地图:H004	X:45	Y:155 
[2024/8/17 17:13:5] 物品:强效太阳水	怪物:0DB2B0F0白野猪0	地图:M100	X:106	Y:135 
[2024/8/17 17:13:5] 物品:强效太阳水	怪物:0DB2B0F0白野猪0	地图:M100	X:106	Y:135 
[2024/8/17 17:13:5] 物品:太阳水	怪物:0DB2B0F0白野猪0	地图:M100	X:106	Y:135 
[2024/8/17 17:13:5] 物品:太阳水	怪物:0DB2B0F0白野猪0	地图:M100	X:106	Y:135 
[2024/8/17 17:13:5] 物品:太阳水	怪物:0DB2B0F0白野猪0	地图:M100	X:106	Y:135 
[2024/8/17 17:13:7] 物品:强效太阳水	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效太阳水	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效太阳水	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效太阳水	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效太阳水	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效金创药	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效金创药	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效魔法药	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:强效魔法药	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:7] 物品:蓝翡翠项链	怪物:2758C050尸王8	地图:H201	X:106	Y:87 
[2024/8/17 17:13:8] 物品:强效太阳水	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效太阳水	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效太阳水	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效太阳水	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效太阳水	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效金创药	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效金创药	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效魔法药	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:强效魔法药	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:死神手套	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:凝霜	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:黑檀手镯	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:魔力手镯	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:8] 物品:群体治疗术	怪物:27A25750尸王8	地图:H201	X:60	Y:140 
[2024/8/17 17:13:10] 物品:太阳水	怪物:21064F10暴牙蜘蛛	地图:D1002	X:212	Y:122 
[2024/8/17 17:13:11] 物品:魔法药(小量)	怪物:17D45F40僵尸3	地图:D2000	X:149	Y:85 
[2024/8/17 17:13:11] 物品:雷电术	怪物:17D45F40僵尸3	地图:D2000	X:149	Y:85 
[2024/8/17 17:13:20] 物品:魔法药(中量)	怪物:19196BD0僵尸2	地图:D401	X:39	Y:128 
[2024/8/17 17:13:24] 物品:强效太阳水	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效太阳水	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效太阳水	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效太阳水	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效太阳水	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效金创药	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效金创药	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效魔法药	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:强效魔法药	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:生铁戒指	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:道德戒指	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:黑檀手镯	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:24] 物品:魔力手镯	怪物:2B54B710尸王8	地图:H201	X:56	Y:145 
[2024/8/17 17:13:26] 物品:强效太阳水	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效太阳水	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效太阳水	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效太阳水	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效太阳水	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效金创药	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效金创药	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效魔法药	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:强效魔法药	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:蛇眼戒指	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:凝霜	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:道德戒指	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:魅力戒指	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:黑檀手镯	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:魔力手镯	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:26] 物品:半月弯刀	怪物:30E83080尸王8	地图:H201	X:94	Y:86 
[2024/8/17 17:13:29] 物品:强效太阳水	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效太阳水	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效太阳水	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效太阳水	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效太阳水	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效金创药	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效金创药	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效魔法药	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:29] 物品:强效魔法药	怪物:0386BDC0尸王8	地图:H201	X:55	Y:146 
[2024/8/17 17:13:33] 物品:太阳水	怪物:21095BE0花吻蜘蛛	地图:D1002	X:240	Y:155 
[2024/8/17 17:13:33] 物品:强效金创药	怪物:21095BE0花吻蜘蛛	地图:D1002	X:240	Y:155 
[2024/8/17 17:13:33] 物品:强效魔法药	怪物:21095BE0花吻蜘蛛	地图:D1002	X:240	Y:155 
[2024/8/17 17:13:33] 物品:金手镯	怪物:21095BE0花吻蜘蛛	地图:D1002	X:240	Y:155 
[2024/8/17 17:13:33] 物品:半月	怪物:21095BE0花吻蜘蛛	地图:D1002	X:240	Y:155 
[2024/8/17 17:13:36] 物品:金创药(小量)	怪物:24550F60僵尸4	地图:H201	X:54	Y:146 
[2024/8/17 17:13:38] 物品:诱惑之光	怪物:054BAF70僵尸20	地图:D2000	X:151	Y:89 
[2024/8/17 17:13:38] 物品:轻型盔甲(男)	怪物:054BAF70僵尸20	地图:D2000	X:151	Y:89 
[2024/8/17 17:13:38] 物品:金创药(中量)	怪物:054BAF70僵尸20	地图:D2000	X:151	Y:89 
[2024/8/17 17:13:40] 物品:金创药(小量)	怪物:2F34C970僵尸4	地图:H201	X:56	Y:144 
[2024/8/17 17:13:40] 物品:太阳水	怪物:21098840花吻蜘蛛	地图:D1002	X:240	Y:156 
[2024/8/17 17:13:40] 物品:强效金创药	怪物:21098840花吻蜘蛛	地图:D1002	X:240	Y:156 
[2024/8/17 17:13:40] 物品:强效魔法药	怪物:21098840花吻蜘蛛	地图:D1002	X:240	Y:156 
[2024/8/17 17:13:50] 物品:疾光电影	怪物:276D0680僵尸1	地图:H201	X:94	Y:79 
[2024/8/17 17:13:55] 物品:金创药(小量)	怪物:17EA1B00僵尸5	地图:H201	X:94	Y:80 
[2024/8/17 17:13:55] 物品:火墙	怪物:17EA1B00僵尸5	地图:H201	X:94	Y:80 
[2024/8/17 17:13:58] 物品:强效太阳水	怪物:1868FB90白野猪80	地图:H006	X:63	Y:48 
[2024/8/17 17:13:58] 物品:强效太阳水	怪物:1868FB90白野猪80	地图:H006	X:63	Y:48 
[2024/8/17 17:13:58] 物品:强效太阳水	怪物:1868FB90白野猪80	地图:H006	X:63	Y:48 
[2024/8/17 17:13:58] 物品:太阳水	怪物:1868FB90白野猪80	地图:H006	X:63	Y:48 
[2024/8/17 17:13:59] 物品:金创药(中量)	怪物:2149E560天狼蜘蛛	地图:D10032	X:128	Y:153 
[2024/8/17 17:13:59] 物品:魔法药(中量)	怪物:2149E560天狼蜘蛛	地图:D10032	X:128	Y:153 
[2024/8/17 17:13:59] 物品:琥珀项链	怪物:2149E560天狼蜘蛛	地图:D10032	X:128	Y:153 
[2024/8/17 17:14:4] 物品:魔法药(小量)	怪物:1F03DDB0僵尸3	地图:D401	X:41	Y:131 
[2024/8/17 17:14:5] 物品:强效太阳水	怪物:1C30DA40尸王8	地图:H201	X:47	Y:150 
[2024/8/17 17:14:5] 物品:强效太阳水	怪物:1C30DA40尸王8	地图:H201	X:47	Y:150 
[2024/8/17 17:14:5] 物品:强效太阳水	怪物:1C30DA40尸王8	地图:H201	X:47	Y:150 
[2024/8/17 17:14:5] 物品:强效太阳水	怪物:1C30DA40尸王8	地图:H201	X:47	Y:150 
[2024/8/17 17:14:5] 物品:强效太阳水	怪物:1C30DA40尸王8	地图:H201	X:47	Y:150 
