[2024/8/17 6:0:9] 物品:黑色水晶戒指	怪物:1EF5AE60蜈蚣	地图:D601	X:60	Y:113 
[2024/8/17 6:30:18] 物品:强效金创药	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:30:18] 物品:强效金创药	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:30:18] 物品:强效魔法药	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:30:18] 物品:强效魔法药	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:30:18] 物品:蛇眼戒指	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:30:18] 物品:蓝翡翠项链	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:30:18] 物品:黑檀手镯	怪物:1C44EC30尸王8	地图:H001	X:73	Y:76 
[2024/8/17 6:32:52] 物品:魔法药(小量)	怪物:03A54170僵尸3	地图:D401	X:24	Y:177 
[2024/8/17 6:33:0] 物品:魔法药(中量)	怪物:280DCE30恶灵僵尸8	地图:H001	X:79	Y:85 
[2024/8/17 6:33:23] 物品:强效太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:太阳水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:金创药(中量)	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:金创药(中量)	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效金创药	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效金创药	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效金创药	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:魔法药(中量)	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:魔法药(中量)	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效魔法药	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效魔法药	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:强效魔法药	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:攻击神水	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:龙之戒指	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:困魔咒	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:23] 物品:地狱火	怪物:05796650沃玛卫士8	地图:H003	X:25	Y:22 
[2024/8/17 6:33:25] 物品:金创药(中量)	怪物:189E8870僵尸2	地图:D401	X:24	Y:175 
[2024/8/17 6:40:20] 物品:强效太阳水	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效太阳水	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效太阳水	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效太阳水	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效太阳水	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效金创药	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效金创药	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效魔法药	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:强效魔法药	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:黑色水晶戒指	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:20] 物品:蛇眼戒指	怪物:30F23BC0尸王8	地图:H001	X:115	Y:110 
[2024/8/17 6:40:36] 物品:金创药(小量)	怪物:278A19A0森林雪人	地图:1	X:236	Y:307 
[2024/8/17 6:43:23] 物品:强效太阳水	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效太阳水	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效太阳水	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效太阳水	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效太阳水	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效金创药	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效金创药	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效魔法药	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:强效魔法药	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:骷髅戒指	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:珍珠戒指	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:23] 物品:魔力手镯	怪物:0D6ECB20尸王8	地图:H001	X:128	Y:117 
[2024/8/17 6:43:42] 物品:魔法药(中量)	怪物:184B3ED0恶灵僵尸8	地图:H001	X:136	Y:119 
[2024/8/17 6:43:52] 物品:强效太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:太阳水	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:金创药(中量)	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:金创药(中量)	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效金创药	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效金创药	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效金创药	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:魔法药(中量)	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:魔法药(中量)	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效魔法药	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效魔法药	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:强效魔法药	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:困魔咒	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:43:52] 物品:诱惑之光	怪物:1F039B20沃玛卫士8	地图:H003	X:55	Y:45 
[2024/8/17 6:45:43] 物品:降魔	怪物:23715040蜈蚣8	地图:H001	X:120	Y:125 
[2024/8/17 6:47:21] 物品:强效太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:太阳水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:金创药(中量)	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:金创药(中量)	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效金创药	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效金创药	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效金创药	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:魔法药(中量)	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:魔法药(中量)	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效魔法药	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效魔法药	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:强效魔法药	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:攻击神水	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:天珠项链	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:魔法盾	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:幽灵盾	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:施毒术	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:21] 物品:地狱火	怪物:1F0384F0沃玛卫士8	地图:H003	X:37	Y:41 
[2024/8/17 6:47:55] 物品:金创药(小量)	怪物:29BDBC00僵尸3	地图:D401	X:47	Y:179 
[2024/8/17 6:51:32] 物品:太阳水	怪物:196EFA90黑色恶蛆8	地图:H001	X:67	Y:133 
[2024/8/17 6:56:26] 物品:玻璃戒指	怪物:1900E750森林雪人	地图:1	X:236	Y:307 
[2024/8/17 6:59:13] 物品:小手镯	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:牛角戒指	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:金创药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:金创药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:金创药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:金创药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:魔法药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:魔法药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:魔法药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:13] 物品:魔法药(中量)	怪物:1B929600半兽战士0	地图:11	X:161	Y:288 
[2024/8/17 6:59:28] 物品:精灵头盔	怪物:22784450骷髅精灵2	地图:Q001	X:13	Y:9 
