[2024/8/20 10:0:1] 物品:金创药(中量)	怪物:1BD6CED0祖玛弓箭手	地图:H204	X:44	Y:43 
[2024/8/20 10:2:34] 物品:强效太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:太阳水	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:金创药(中量)	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:金创药(中量)	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:金创药(中量)	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:魔法药(中量)	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:魔法药(中量)	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:魔法药(中量)	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效金创药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:34] 物品:强效魔法药	怪物:055CBAF0白野猪8	地图:H204	X:71	Y:29 
[2024/8/20 10:2:40] 物品:刺杀剑术	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:40] 物品:幽灵盾	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:40] 物品:隐身术	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:40] 物品:攻杀剑术	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:40] 物品:诱惑之光	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:40] 物品:地狱火	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:40] 物品:召唤骷髅	怪物:285B72E0恶灵尸王	地图:H201	X:55	Y:148 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:太阳水	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效金创药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:强效魔法药	怪物:27F17F30虹魔蝎卫8	地图:H204	X:72	Y:29 
[2024/8/20 10:2:42] 物品:金创药(小量)	怪物:19B97E60僵尸5	地图:H201	X:58	Y:150 
[2024/8/20 10:2:47] 物品:半月	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:海魂	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:凤凰明珠	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:坚固手套	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:青铜斧	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:黄色水晶项链	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:黑色水晶项链	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:太阳水	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:太阳水	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:太阳水	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:太阳水	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:金创药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:金创药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:金创药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:金创药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:魔法药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:魔法药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:魔法药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:47] 物品:魔法药(中量)	怪物:18056F20沃玛勇士0	地图:D024	X:25	Y:13 
[2024/8/20 10:2:48] 物品:强效太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:太阳水	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:金创药(中量)	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:金创药(中量)	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效金创药	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效金创药	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效金创药	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:魔法药(中量)	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:魔法药(中量)	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效魔法药	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效魔法药	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:强效魔法药	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:道士手镯	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:道德戒指	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:圣言术	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:幽灵盾	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:48] 物品:神圣战甲术	怪物:2D6D8240沃玛卫士8	地图:H204	X:76	Y:27 
[2024/8/20 10:2:49] 物品:魔法药(小量)	怪物:19B97E60僵尸5	地图:H201	X:58	Y:150 
[2024/8/20 10:2:54] 物品:魔法药(中量)	怪物:1B95C970沃玛勇士	地图:D024	X:25	Y:12 
[2024/8/20 10:2:58] 物品:金创药(中量)	怪物:1EBD3A90沃玛战将	地图:D024	X:23	Y:13 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:太阳水	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效金创药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:2:59] 物品:强效魔法药	怪物:2D136B50虹魔蝎卫8	地图:H204	X:76	Y:25 
[2024/8/20 10:3:3] 物品:金创药(中量)	怪物:1A1B83B0沃玛勇士	地图:D024	X:25	Y:12 
[2024/8/20 10:3:3] 物品:太阳水	怪物:1A1B83B0沃玛勇士	地图:D024	X:25	Y:12 
[2024/8/20 10:3:4] 物品:金创药(小量)	怪物:19B97E60僵尸5	地图:H201	X:58	Y:150 
[2024/8/20 10:3:7] 物品:强效太阳水	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效太阳水	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效太阳水	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效太阳水	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效太阳水	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效金创药	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效金创药	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效魔法药	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:强效魔法药	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:凝霜	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:7] 物品:魔力手镯	怪物:1810FA90尸王8	地图:H201	X:48	Y:145 
[2024/8/20 10:3:8] 物品:疾光电影	怪物:2A41DF80僵尸5	地图:H201	X:49	Y:144 
[2024/8/20 10:3:11] 物品:牛角戒指	怪物:0B868D60暗黑战士	地图:D024	X:21	Y:16 
[2024/8/20 10:3:11] 物品:诱惑之光	怪物:1A1F5270僵尸4	地图:H201	X:49	Y:143 
[2024/8/20 10:3:17] 物品:强效太阳水	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效太阳水	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效太阳水	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效太阳水	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效太阳水	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效金创药	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效金创药	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效魔法药	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:强效魔法药	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:黑色水晶戒指	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:魅力戒指	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:蓝翡翠项链	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:黑檀手镯	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:魔力手镯	怪物:289B1D10尸王8	地图:H201	X:45	Y:146 
[2024/8/20 10:3:17] 物品:金创药(小量)	怪物:0584BE90暗黑战士	地图:D024	X:18	Y:18 
[2024/8/20 10:3:32] 物品:爆裂火焰	怪物:2B47B2E0僵尸1	地图:H201	X:47	Y:138 
[2024/8/20 10:3:34] 物品:金创药(小量)	怪物:1D921CB0僵尸4	地图:H201	X:46	Y:138 
[2024/8/20 10:3:37] 物品:强效太阳水	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效太阳水	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效太阳水	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效太阳水	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效太阳水	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效金创药	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效金创药	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效魔法药	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:强效魔法药	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:骷髅戒指	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:凝霜	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:37] 物品:道德戒指	怪物:2FD1D9B0尸王8	地图:H201	X:45	Y:138 
[2024/8/20 10:3:38] 物品:强效太阳水	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效太阳水	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效太阳水	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效太阳水	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效太阳水	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效金创药	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效金创药	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效魔法药	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:强效魔法药	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:道德戒指	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:黑檀手镯	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:冰咆哮	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:38] 物品:野蛮冲撞	怪物:1C1182A0尸王8	地图:H201	X:46	Y:138 
[2024/8/20 10:3:41] 物品:金创药(小量)	怪物:22770DB0僵尸4	地图:H201	X:44	Y:138 
[2024/8/20 10:3:41] 物品:魔法药(小量)	怪物:22770DB0僵尸4	地图:H201	X:44	Y:138 
[2024/8/20 10:3:42] 物品:金创药(中量)	怪物:30848000祖玛弓箭手8	地图:H204	X:16	Y:81 
